Qty,Manufacturer,Part Number
1,JOHANSON,2450AD46A5400
1,JOHANSON,2450AT43B100
2,JOHANSON,250R05L0R5AV4T
2,JOHANSON,250R05L0R5AV4T
1,JOHANSON,250R05L2R0BV4T
2,JOHANSON,250R05L6R8CV4T
1,MURATA,GRM155R71H103KA88
12,MURATA,GRM155R71C104KA88
2,MURATA,GRM188R61E105KA12D
2,MURATA,GRM188R60J475KE19D
2,MURATA,GRM188R60J106ME47D
3,MCC,BAT54
1,MURATA,BLM18SG221TN1
2,TE CONNECTIVITY,3-644456-5
1,HIROSE,U.FL-R-SMT-1
1,TE CONNECTIVITY,3-644456-3
3,TE CONNECTIVITY,3-644456-5
1,MAJOR LEAGUE,SSHQ-105-D-08-GT-LF
2,MAJOR LEAGUE,SSHQ-123-D-08-GT-LF
1,SULLINS,GRPB061VWCN-RC
3,JOHANSON,L-05B1N8SV6T
1,JOHANSON,L-07C2N2SV6T
1,JOHANSON,L-07C2N7SV6T
3,JOHANSON,L-07C2N7SV6T
2,LITEON,LTST-C155KGJRKT
1,VISHAY,VLMW1300-GS08
1,LITEON,LTST-C170TBKT
1,LSR,450-0064
1,CUSTOM,750-00430
8,FAIRCHILD,FDV301N
3,KOA,RK73H1ETTP4751F
1,KOA,RK73H1ETTP1053F
1,KOA,RK73H1ETTP2053F
4,KOA,RK73B1ETTP101J
1,KOA,RK73B1ETTP151J
1,KOA,RK73B1ETTP391J
2,KOA,RK73B1ETTP102J
1,KOA,RK73B1ETTP102J
2,KOA,RK73B1ETTP152J
4,KOA,RK73B1ETTP103J
5,KOA,RK73B1ETTP203J
3,KOA,RK73B1ETTP513J
2,KOA,RK73B1ETTP513J
1,KOA,RK73B1ETTP104J
1,KOA,RK73B1ETTP105J
16,KOA,RK73Z1ETTP
3,KOA,RK73Z1ETTP
2,KOA,
1,CTS,219-2MST
1,KEYSTONE,5015
2,TI,SN74AVC4T245PW
1,ON SEMI,CAT24C256WI-GT3
1,TI,TXS02612RTWR
1,ON SEMI,NCP303LSN30T1G
1,ON SEMI,NCP303LSN09T1G
1,TI,TPS72501DCQ
1,TI,LP2985-18DBVR