QTY,DESCRIPTION,MAN,PART #
2,CAP CER 10UF 10V Y5V 0805,TDK,C2012Y5V1A106Z
8,Capacitor 0.1uF 16V 10% 0402 X7R,Kemet,C0402C104K4RACT
1,,MLE,SSHS-520-D-04-T-LF
1,,MLE,TSHS-520-D-04-A-T-LF
15,Resistor 10Kohm 1/16W 5% 0402,Rohm,MCR01MZPJ103
3,RES 4.75K OHM 1/16W 1% 0402 SMD,Stackpole Electronics,RMCF0402FT4K75
11,RES 1K OHM 1/10W 1% 0402 SMD,Panasonic,ERJ-2RKF1001X
1,IC EEPROM 256KBIT 400KHZ 8SOIC,ON,CAT24C256WI-G
1,IC 16BIT TRANSP D-LATCH 56-BGA,TI,SN74ALVCH16374DGGR
1,Flash Memory 128Mbit (8Mx16) 70ns,MICRON,M29W128GL70ZA6E
DNI,,,