Quantity,Manufacturer,Manufacturer Part Number
9,Taiyo Yuden,LMK105BJ104KV-F
8,KEMET,C0805C106K8PACTU
2,Taiyo Yuden,LMK105BJ105KV-F
4,Samtec Inc,TFM-110-02-S-D-WT
3,TAIYO YUDEN,BK1005HS102-T
2,LITE-ON,LTST-C191TBKT
1,LITE-ON,LTST-C190CKT
1,LITE-ON,LTST-C190GKT
1,Sullins Connector Solutions,GRPB052VWQS-RC
2,MLE,BSTS-123-D-A-16-F-300-LF
4,Panasonic,ERJ-2GEJ221X
43,Panasonic,ERJ-2GE0R00X
10,Panasonic,ERJ-2RKF4701X
2,Panasonic,ERJ-2RKF1501X
1,CTS Electrocomponents,219-2MST
2,Omron Electronics Inc-EMC Div,B3S-1100P
3,Texas Instruments,SN74AUP2G08DCUR
1,ON Semiconductor,CAT24C256WI-G
11,,