PART#,QTY
VL-1220/VCN,0
JMK212BJ106KD-T,12
TMK316F106ZL-T,1
B45196H1107M209V18,4
LMK105BJ104KV-F,109
C1005C0G1H470J,6
ECJ-1VB0J475M,19
GRM155R61A105KE15D,29
CC0402KRX7R7BB102,1
GRM32ER61A476KE20L,2
C0402C101J3GACTU,7
ECJ-0EC1H220J,2
JMK105BJ225MV-F,2
GRM155R71H223KA12D,1
C0402C330J5GACTU,2
PGB1010603MR,8
LTST-C190GKT,5
LTST-C190CKT,1
67997-402HLF,1
LK16083R3K-T ,2
LPS3015-102MLC,2
LPS3010-102MLC,1
MMZ1608R301A,3
BLM18PG121SN1D,2
56579-0576,1
PJ-002A,1
67997-414HLF,1
5749181-1,1
SJ1-3513-SMT,2
SCHA5B0200,1
190-009-263R001,1
LSWSS-114-D-02-T-LF,1
PSSHSM-517-D-06-F-AP-LF       ,1
F618-MG -D051-XX-CF358,
SSHS-510-D-04-F,3
SSHS-502-D-04-F,1
10029449-001RLF,1
649-72309-8034BLF,2
0817-1A1T-11-F,1
DMC564040R ,2
BCR135SH6327XT,
EXB-2HV100JV,4
RXEF010,1
ERJ-3GEY0R00V,7
RC0402FR-0710KL,38
RC0603FR-0712K4L,1
MCR03EZPFX6203,1
RG1005P-123-B-T5,3
MCR03EZPFX2003,1
73L3R10J,1
CRCW12100000Z0EA,1
CRCW040256K2FKED,2
ERJ-2RKF2262X,1
CRCW040233R0JNED,8
RC0805FR-0749R9L,4
RC0402FR-0710RL,1
CRCW04021K00JNED,3
CRCW04024K70JNED,10
CRCW0402100KJNED,7
CRCW04021K65FKED,2
RC0402JR-07330RL,7
CRCW040232K4FKED,1
MCR01MZPJ000,7
MCR03EZPFX8451,1
MCR03EZPFX8061,2
RC0402FR-07510RL,4
RC0402JR-071ML,1
ERA-2AEB103X,3
B3F-1000,2
TPS2141IPWP,1
TL1963ADCQR,2
DM3730CBP100,1
MT46H128M32L2KQ-5 WT:B,1
SN74LVC2G07DBV,1
SN74LVC2G06DCK,1
NCP349MNAE,2
TPS65950BZXN,1
SN65C3221EPWR,1
TXS0102DCUR,2
TFP410PAP,1
TPS2054BD,1
USB3320C-EZK,1
LAN9514-JZX,1
FX135A-327,1
ECS-250-20-5PVX,1
SG-210SEB 26.0000MF,1